t,cam,fps,bad_frames,kills,respawns,alive
1789803101,2,26.0,0,137,190,True
1789803106,1,15.2,0,5,5,True
1789803106,2,26.0,0,137,190,True
1789803111,1,15.0,0,5,5,True
1789803111,2,25.8,0,137,190,True
1789803116,1,15.0,0,5,5,True
1789803116,2,25.4,0,137,190,True
1789803121,1,15.6,0,5,5,True
1789803121,2,26.4,0,137,190,True
1789803126,1,15.2,0,5,5,True
1789803126,2,25.8,0,137,190,True
1789803131,1,15.2,0,5,5,True
1789803131,2,26.0,0,137,190,True
1789803136,1,15.2,0,5,5,True
1789803136,2,25.4,0,137,190,True
1789803141,1,15.2,0,5,5,True
1789803141,2,25.6,0,137,190,True
1789803146,1,15.2,0,5,5,True
1789803146,2,25.4,0,137,190,True
1789803151,1,15.2,0,5,5,True
1789803151,2,25.6,0,137,190,True
1789803156,1,15.2,0,5,5,True
1789803156,2,26.0,0,137,190,True
1789803161,1,15.0,0,5,5,True
1789803161,2,25.8,0,137,190,True
1789803166,1,15.2,0,5,5,True
1789803166,2,26.2,0,137,190,True
1789803171,1,15.4,0,5,5,True
1789803171,2,25.8,0,137,190,True
